building_name_en,mean,count,std,ci95_hi,ci95_lo
Seven City JLT,11032.88,1967,1046.69,11079.13,10986.62
PRINCESS TOWER,13240.61,1903,4099.34,13424.8,13056.43
SILICON GATES 1,8929.73,1819,2365.61,9038.44,8821.01
ELITE RESIDENCE,17773.98,1747,67177.25,20924.14,14623.83
Marina Pinnacle,11145.81,1729,3705.5,11320.47,10971.14
Silver Tower,11559.33,1608,9601.44,12028.63,11090.03
Torch Tower,11523.9,1517,3302.04,11690.07,11357.74
OCEAN HEIGHTS,15555.49,1388,6411.42,15892.79,15218.19
Churchill Tower 2-Residential,11118.74,1348,3114.72,11285.01,10952.46
CAYAN TOWER,15748.74,1340,5520.96,16044.35,15453.13
Sulafa Tower,12968.82,1319,2840.59,13122.12,12815.52
Burj Lake Hotel - The Address DownTown,28512.0,1286,13227.03,29234.93,27789.06
MAG218,9987.47,1285,2808.2,10141.02,9833.93
Dubai Marina Mall Hotel,25494.27,1263,7891.2,25929.48,25059.06
Churchill Tower 1-Commercial,12446.38,1253,3234.99,12625.51,12267.26
FIVE AT PALM JUMEIRAH DUBAI,23584.23,1223,7332.43,23995.18,23173.28
Skycourts Tower D,7449.69,1219,1652.93,7542.48,7356.9
Tamani Arts Office,18761.45,1217,16146.58,19668.63,17854.28
Skycourts Tower A,8278.29,1204,37710.04,10408.39,6148.19
THE DUBAI MALL RESIDENCES,26860.33,1191,9033.98,27373.41,26347.26
Skycourts Tower F,7411.06,1180,1700.54,7508.09,7314.03
Lakeshore Tower 1,8891.48,1174,2087.15,9010.88,8772.09
ALMAS TOWER,16026.88,1149,5599.76,16350.67,15703.09
Skycourts Tower B,7077.56,1129,1672.62,7175.13,6979.99
GoldCrest Executive,10918.7,1128,3770.91,11138.76,10698.63
Skycourts Tower C,7199.42,1057,1756.88,7305.34,7093.51
Citadel Tower,12800.59,1043,5386.23,13127.48,12473.7
LAKE TERRACE,10251.29,1043,4400.01,10518.32,9984.25
The Address - The BLVD,28871.57,1041,19843.81,30077.03,27666.1
BURLINGTON TOWER,13369.25,1038,2645.74,13530.21,13208.3
GOLDCREST VIEWS 2,10474.39,1035,3335.66,10677.61,10271.17
Ciel,69048.89,1029,13123.59,69850.76,68247.03
PALACE TOWER T2,8455.06,1025,2065.82,8581.53,8328.59
Gold Tower,10163.34,1004,4302.01,10429.45,9897.23
MARINA CROWN TOWER,8965.14,973,3608.73,9191.89,8738.38
MOSELA,12718.79,964,2909.69,12902.47,12535.11
BURJ VISTA Tower 1,19826.21,957,5621.46,20182.38,19470.05
SEVEN HOTEL & APARTMENTS THE PALM,24072.3,950,5312.64,24410.14,23734.47
D1,16894.09,945,5114.52,17220.19,16568.0
CONCORDE TOWER 1,9366.14,945,5602.84,9723.37,9008.91
LAKE VIEW,10185.56,939,4041.08,10444.04,9927.09
Windsor Residence,5983.1,932,360.76,6006.26,5959.93
Skycourts Tower E,7133.19,925,1536.17,7232.19,7034.19
EAST HEIGHTS 4,11118.6,919,2967.08,11310.43,10926.76
29 BLVD T1,21198.61,912,5658.69,21565.87,20831.35
AYKON CITY-TOWER B,19362.37,908,4751.96,19671.46,19053.28
BAY CENTRAL 1,16219.72,906,4697.48,16525.61,15913.84
JUMAIRAH BAY TOWER-X2,8241.97,887,3154.79,8449.59,8034.35
MAZAYA BUSINESS AVENUE AA1,8389.71,885,6673.77,8829.41,7950.01
BAY CENTRAL 2,15707.1,882,4919.41,16031.76,15382.43
DUBAI GATE ONE,10443.62,866,3679.28,10688.67,10198.56
8 BLVD WALK,11705.4,857,4303.09,11993.5,11417.3
BD Standpoint A,21214.1,852,6332.25,21639.3,20788.9
WEST HEIGHTS 1,11111.42,850,3174.25,11324.82,10898.02
TNARO,14632.77,847,3551.47,14871.95,14393.59
23 MARINA,10506.26,846,2930.2,10703.72,10308.81
JUMAIRAH BAY TOWER-X1-1,9301.1,842,2901.94,9497.11,9105.08
LAGO VISTA-B,9640.86,836,3350.97,9868.02,9413.71
BD 29 BLVD T2,22454.74,833,7146.67,22940.07,21969.41
MAZAYA BUSINESS AVENUE BB1,8348.75,833,3986.56,8619.48,8078.03
Madison Residency,9711.24,828,2050.6,9850.91,9571.56
MAZAYA BUSINESS AVENUE BB2,7985.9,810,3583.73,8232.71,7739.1
MAG 214,9891.67,809,3623.16,10141.34,9642.0
TRIDENT GRAND RESIDENCE,12161.8,807,3586.07,12409.22,11914.38
JUMEIRAH BUSINESS CENTRE 1,10393.95,807,4835.41,10727.57,10060.33
JUMAIRAH BAY TOWER-X3,8429.94,801,2738.52,8619.6,8240.29
Grande,28307.51,801,7001.61,28792.4,27822.63
PLATINUM TOWER,11335.22,795,8684.58,11938.92,10731.52
I RISE TOWER,14074.63,792,74217.38,19243.54,8905.72
Burj Khalifa Zone 3,27955.0,784,10083.75,28660.87,27249.14
AYKON CITY (2) -TOWER C,20003.78,783,4602.91,20326.19,19681.37
BAYSWATER BAY BY OMNIYAT,12199.06,782,4391.25,12506.84,11891.28
BOTANICA TOWER-1,17189.03,782,5700.3,17588.56,16789.5
Bahar 1,10435.76,778,3956.03,10713.75,10157.77
Silverene Towers B,14954.51,777,4764.97,15289.56,14619.47
DUBAI ARCH TOWER,9485.64,774,2870.33,9687.86,9283.43
LAGUNA TOWER,10699.96,773,3634.44,10956.17,10443.74
GLOBAL LAKE VIEW,10394.64,769,4215.53,10692.59,10096.69
Al NOUJOUM TOWER,13040.98,764,4078.73,13330.2,12751.76
Murjan 1,10409.27,755,4995.3,10765.59,10052.94
WORLD TRADE CENTRE RESIDENCES,14692.33,748,4668.05,15026.86,14357.8
AL SEEF 2,8448.31,741,2581.69,8634.19,8262.42
SABA 2,10280.45,738,4036.44,10571.67,9989.22
MARINA HEIGHTS 1,10939.88,736,3586.29,11198.97,10680.78
DAMAC TOWERS BY PARAMOUNT (C),26709.21,734,6965.15,27213.11,26205.32
AL MANARA,11929.78,732,3356.2,12172.92,11686.65
LAGO VISTA-A,9307.52,731,2813.11,9511.45,9103.58
Silverene Towers A,15309.59,724,4391.43,15629.47,14989.7
LAGO VISTA-C,10945.61,722,5213.35,11325.89,10565.33
The Cosmopolitan,19114.82,722,5176.19,19492.39,18737.25
Regalia,15367.28,716,1076.64,15446.15,15288.42
THE RESIDENCE AT MARINA GATE 2,20668.64,715,5266.46,21054.67,20282.61
JUMEIRA Business Center 2,8507.17,711,2505.58,8691.34,8322.99
DAMAC HEIGHTS,20734.22,710,7498.76,21285.81,20182.63
GHALIA,11887.45,707,2996.49,12108.33,11666.57
Amwaj 4,10950.32,698,4180.39,11260.45,10640.19
Rimal 1,10179.46,697,4318.66,10500.08,9858.84
Burj Khalifa Zone 2B ,28055.83,695,10598.86,28843.83,27267.84
HDS BUSINESS CENTRE,6548.99,695,2128.83,6707.26,6390.72
Lakepoint N2,8186.48,694,2172.33,8348.1,8024.86
The Manhattan,7846.68,693,1816.45,7981.92,7711.43
Dubai Star,9188.52,692,2570.12,9380.02,8997.03
LAKESIDE B,9964.04,691,2517.67,10151.77,9776.32
LAKESIDE C,10007.46,684,2723.34,10211.56,9803.37
Marina Quay West,12147.66,683,4196.09,12462.36,11832.97
  PALLADIUM,8990.36,677,3557.93,9258.37,8722.34
Goldcrest Views,9732.26,674,3322.72,9983.11,9481.41
Park Lane,16741.31,671,10289.84,17519.89,15962.73
ARABIAN GATE,8114.57,669,1463.7,8225.48,8003.65
LAKE CITY TOWER,9992.61,668,2817.08,10206.25,9778.98
THE BINARY BY OMNIYAT,13800.87,663,10191.53,14576.65,13025.09
KEMPINSKI RESIDENCES,17580.02,662,8690.44,18242.04,16918.0
SABA 3,10897.77,662,3456.97,11161.11,10634.43
GREEN LAKES S2,9185.25,655,2840.0,9402.75,8967.76
THE RESIDENCES NORTH,15035.05,655,4603.1,15387.57,14682.53
Spring,9526.46,654,3113.51,9765.08,9287.83
LAKESIDE A,9812.87,653,2574.66,10010.35,9615.39
LAKESIDE D,9740.09,652,2509.87,9932.75,9547.43
Jumeirah Gate Tower 1,26511.1,650,9906.96,27272.73,25749.48
WEST AVENUE,17440.92,640,7229.19,18001.01,16880.83
HAMENI TOWER,8918.75,632,2253.71,9094.46,8743.04
MANCHESTER,9720.05,630,3475.3,9991.43,9448.67
ROYAL OCEANIC-1,12750.7,630,3993.05,13062.51,12438.89
PARAMOUNT TOWER HOTEL & RESIDENCES,19656.96,629,5112.39,20056.5,19257.43
Indigo Tower,9556.13,628,5042.1,9950.49,9161.78
THE RESIDENCES SOUTH,16169.96,624,4474.94,16521.07,15818.84
GR PANORAMA,12775.11,622,3603.2,13058.28,12491.94
Elite Residences 6,10627.19,619,3615.7,10912.03,10342.35
WEST HEIGHTS 4,10695.68,619,2903.4,10924.41,10466.95
Burj Royale,21842.55,619,5749.2,22295.47,21389.64
Shams 4,13097.37,616,4205.57,13429.49,12765.26
THE PRISM,12766.33,612,2728.73,12982.52,12550.13
Peninsula Three,23051.42,612,1828.74,23196.31,22906.53
ICON 1,8619.09,609,2706.12,8834.02,8404.16
Al Majara 2,11935.16,609,4523.11,12294.4,11575.92
V3 TOWER,8900.83,607,2790.45,9122.83,8678.84
ICON 2,8984.0,606,2534.83,9185.82,8782.18
Elite 5 Sports Residence,10157.13,603,2949.18,10392.52,9921.73
Boulevard Point,21002.95,603,4400.35,21354.17,20651.72
THE SIGNATURE,21153.18,599,7837.38,21780.82,20525.53
GREEN LAKES S3,13057.32,598,3261.33,13318.71,12795.92
Fortunato 1,7353.89,596,1947.85,7510.28,7197.51
SLS DUBAI,26060.24,596,8412.3,26735.62,25384.86
Murjan 2,10508.1,595,5169.71,10923.5,10092.7
SKYZ BY DANUBE,12941.56,594,1255.92,13042.56,12840.56
ELITE 8 SPORTS RESIDENCE,9583.83,593,1830.0,9731.13,9436.54
AL SHERA,8761.24,591,8018.29,9407.7,8114.77
THE METROPOLIS,12558.89,591,3113.52,12809.91,12307.86
SAHAB-2,11708.31,590,4116.63,12040.49,11376.13
Jumeirah Business Center 5,10502.49,584,3212.12,10763.01,10241.97
Peninsula Four,25479.07,571,2425.08,25677.99,25280.16
WEST HEIGHTS 3,10965.26,570,3146.95,11223.61,10706.91
Sadaf 6,9824.52,567,5187.48,10251.51,9397.52
Giovanni Boutique Suites,12192.91,566,3785.62,12504.79,11881.03
WEST HEIGHTS 5,10882.33,566,3811.35,11196.32,10568.33
GREEN LAKES S1,9572.93,565,2819.29,9805.4,9340.46
THE RESIDENCES AT MARINA GATE 1,19477.44,564,4417.36,19842.01,19112.87
LINKS WEST T1,11652.9,563,3631.54,11952.88,11352.92
REGAL TOWER,13837.38,562,7744.83,14477.7,13197.06
PARK ISLAND BONAIRE,13063.1,562,3384.75,13342.94,12783.26
Binghatti Avenue,8970.82,561,1696.89,9111.24,8830.4
ONTARIO TOWER,13537.16,561,4662.21,13922.97,13151.36
Sobha Creek Vistas Reserve,18674.85,561,1145.69,18769.66,18580.04
Park Island Fairfield,13737.1,561,3887.38,14058.79,13415.41
ESCAN MARINA TOWER,11874.08,558,3978.77,12204.21,11543.95
HAMZA TOWER,7635.95,558,1784.23,7784.0,7487.91
Sadaf 7,10112.24,557,4614.73,10495.48,9728.99
THE POINT TOWER,14526.28,556,16232.87,15875.6,13176.97
SKY CENTRAL,37858.56,552,10292.15,38717.17,36999.96
