area_name_en,mean,count,std,ci95_hi,ci95_lo
Marsa Dubai,16424.17,78919,29901.51,16632.8,16215.55
Al Thanyah Fifth,9367.46,57084,17808.6,9513.55,9221.36
Business Bay,16941.93,55861,41930.07,17289.65,16594.21
Al Barsha South Fourth,10022.98,41937,38542.77,10391.87,9654.09
Burj Khalifa,22547.54,40618,109288.07,23610.38,21484.69
Al Warsan First,7155.52,36984,53744.9,7703.28,6607.77
Jabal Ali First,9107.41,26584,21578.29,9366.8,8848.01
Palm Jumeirah,18203.73,26350,94058.67,19339.43,17068.02
Al Hebiah Fourth,9679.3,25933,6470.22,9758.05,9600.55
Al Thanyah Third,11066.34,21437,7280.24,11163.8,10968.88
Wadi Al Safa 5,7663.07,21004,12813.47,7836.36,7489.79
Al Thanayah Fourth,6004.97,20755,4045.07,6060.01,5949.94
Nadd Hessa,9709.43,17786,54674.62,10512.96,8905.9
Hadaeq Sheikh Mohammed Bin Rashid,12967.59,15796,7878.36,13090.45,12844.73
Me'Aisem First,9725.15,14889,10521.86,9894.16,9556.14
Al Hebiah Fifth,10171.61,13523,4782.97,10252.22,10090.99
Wadi Al Safa 6,5512.1,13448,3593.39,5572.83,5451.36
Al Merkadh,16703.25,12932,7966.21,16840.55,16565.95
Al Hebiah Third,10285.41,11091,4703.17,10372.94,10197.88
Al Khairan First,18161.0,10393,4596.81,18249.38,18072.62
Al Yelayiss 2,8772.34,10315,18956.01,9138.16,8406.51
Al Hebiah First,8505.76,9289,26788.94,9050.55,7960.98
Al Barsha South Fifth,9107.65,8966,12778.24,9372.15,8843.15
Al Barshaa South Third,10903.7,8687,11195.28,11139.13,10668.27
Wadi Al Safa 2,158389.63,8184,1060955.61,181376.0,135403.26
Wadi Al Safa 7,9057.86,7977,24196.54,9588.86,8526.87
Madinat Al Mataar,7928.41,7936,6022.98,8060.92,7795.89
Dubai Investment Park First,6727.74,7683,14499.57,7051.97,6403.52
Al Yelayiss 1,6352.19,6564,1575.16,6390.3,6314.09
Wadi Al Safa 3,20291.03,6457,616409.86,35326.26,5255.79
Mirdif,6828.56,6342,82420.26,8857.07,4800.05
Al Jadaf,17058.08,5671,52549.04,18425.78,15690.38
Al Wasl,20232.42,5527,33813.24,21123.87,19340.96
Al Thanyah First,18205.89,5087,33991.1,19139.98,17271.8
Nad Al Shiba First,9944.52,4621,18686.52,10483.3,9405.73
Al Yufrah 2,8479.86,4424,2412.41,8550.95,8408.77
Al Barshaa South Second,12955.26,3799,100128.73,16139.32,9771.21
Jumeirah First,15336.54,3044,9347.5,15668.61,15004.47
Dubai Investment Park Second,5209.23,2768,23408.16,6081.28,4337.19
Al Yufrah 3,8451.14,2633,1691.85,8515.76,8386.52
Al Goze Fourth,8971.81,2455,70616.6,11765.23,6178.38
Saih Shuaib 1,1513.98,2317,979.5,1553.86,1474.09
Nad Al Shiba Third,5462.77,2277,9393.03,5848.59,5076.96
Warsan Fourth,7383.73,2252,10934.9,7835.37,6932.1
Al Hebiah Sixth,8093.67,2238,2897.1,8213.7,7973.65
Um Suqaim Third,18131.28,2064,9811.8,18554.58,17707.98
Al Khawaneej First,1532.72,1971,1340.03,1591.88,1473.56
Zaabeel Second,20477.71,1869,4138.4,20665.34,20290.09
Hor Al Anz,9843.66,1848,22842.03,10885.11,8802.21
Al Barsha Second,1910.29,1824,2684.52,2033.49,1787.09
Al Barsha Third,2026.07,1802,2778.07,2154.34,1897.8
Al Aweer First,1009.47,1781,584.88,1036.63,982.3
Al Warqa Third,1098.92,1779,1067.95,1148.55,1049.29
Nad Al Hamar,1784.37,1723,2670.37,1910.46,1658.28
Jabal Ali,19709.14,1585,197494.31,29432.05,9986.24
Al Ruwayyah,2735.53,1577,2282.69,2848.2,2622.87
Al Barshaa South First,1128.79,1535,835.83,1170.61,1086.98
Al Mezhar First,1261.53,1528,1665.54,1345.04,1178.02
Al Khawaneej Second,1229.58,1479,2154.22,1339.37,1119.79
Al Hebiah Second,9957.4,1430,10640.18,10508.89,9405.91
Al Yufrah 1,8239.17,1418,1730.53,8329.24,8149.1
Hessyan Second,22324.57,1406,12153.99,22959.87,21689.26
Al Kifaf,14930.38,1384,4082.17,15145.45,14715.31
Al Satwa,9028.26,1378,10887.37,9603.11,8453.41
Al Barsha First,17388.09,1366,16725.92,18275.09,16501.1
Muhaisanah First,6115.99,1224,5518.08,6425.12,5806.85
Jabal Ali Industrial Second,11407.42,1214,8705.99,11897.15,10917.68
Al Safouh Second,28221.36,1195,14786.15,29059.72,27383.01
Madinat Dubai Almelaheyah,27618.9,1183,28725.27,29255.82,25981.98
Al Warqa Fourth,1055.09,1175,1578.93,1145.37,964.8
Al Rashidiya,2942.72,1152,11911.45,3630.58,2254.87
Wadi Al Safa 4,11251.7,1121,9895.12,11830.96,10672.44
Hessyan First,17744.36,1088,7353.83,18181.33,17307.39
Al Warqa Second,919.09,1061,946.86,976.07,862.12
Al Mezhar Second,1100.84,1037,1313.46,1180.78,1020.89
MADINAT HIND 4,10635.66,1026,3138.63,10827.71,10443.6
Port Saeed,16834.35,996,14813.26,17754.33,15914.37
Abu Hail,4996.99,976,5038.19,5313.07,4680.9
Nad Al Shiba,4099.09,958,5606.1,4454.09,3744.08
Al Bada,10709.25,923,12035.47,11485.71,9932.79
Al Safouh First,12324.53,920,7679.86,12820.8,11828.27
Oud Al Muteena First,1139.47,913,488.17,1171.13,1107.8
Jabal Ali Industrial First,14572.68,909,128581.84,22931.67,6213.69
Um Suqaim Second,5597.29,868,6676.52,6041.46,5153.13
Trade Center Second,31368.72,820,75342.25,36525.6,26211.83
Nad Al Shiba Fourth,1230.46,802,1038.57,1302.34,1158.58
Um Al Sheif,5248.66,792,5714.55,5646.66,4850.67
Naif,28373.31,792,26570.7,30223.84,26522.78
Jumeirah Third,5086.12,791,4014.04,5365.85,4806.38
Saih Shuaib 2,5130.59,784,12766.98,6024.28,4236.9
Al Murqabat,21779.89,777,19915.46,23180.24,20379.54
Al Mararr,29342.63,767,21954.62,30896.39,27788.87
Al Raffa,17192.15,761,16289.41,18349.51,16034.79
Al Muteena,10217.47,751,10770.27,10987.77,9447.16
Al Karama,17027.87,728,15732.72,18170.73,15885.01
Al Nahda Second,15535.17,726,12631.82,16454.04,14616.3
Al Manara,4196.22,726,6111.27,4640.77,3751.67
Um Suqaim First,5347.34,710,4738.92,5695.92,4998.76
Mankhool,17848.4,705,16648.24,19077.34,16619.46
Al Waheda,3536.62,699,2875.8,3749.81,3323.42
World Islands,31050.74,660,15113.28,32203.78,29897.7
Al Kheeran,51230.83,659,588573.35,96168.86,6292.81
Al Suq Al Kabeer,29867.09,654,23625.29,31677.78,28056.4
Al Goze First,2539.09,639,4956.25,2923.38,2154.8
Muhaisanah Third,1250.34,623,1170.77,1342.28,1158.4
Oud Al Muteena Second,959.28,591,784.72,1022.55,896.02
Al Goze Second,1251.22,590,1048.17,1335.79,1166.64
Jabal Ali Industrial Third,20088.64,557,7401.43,20703.32,19473.97
Island 2,33989.75,548,25609.63,36133.97,31845.53
Al Baraha,17524.05,543,15742.24,18848.16,16199.95
Al Warqa First,9841.65,542,10396.67,10716.94,8966.36
Al Hamriya,17095.01,520,19175.42,18743.17,15446.85
Al Twar Third,1458.66,501,1558.84,1595.16,1322.16
Jumeirah Second,11992.05,496,18620.82,13630.8,10353.29
Trade Center First,69263.57,471,123950.96,80457.83,58069.3
Al Saffa Second,3942.93,462,4643.11,4366.32,3519.54
Al Dhagaya,33387.94,441,35644.92,36714.8,30061.08
Al Mamzer,8960.06,436,24107.22,11222.93,6697.19
Um Suqaim,1319.7,413,969.31,1413.19,1226.22
Hor Al Anz East,6750.06,399,6792.16,7416.53,6083.6
Al Qusais First,11646.5,380,11846.18,12837.59,10455.42
Wadi Alshabak,1156.6,379,712.27,1228.31,1084.89
MADINAT HIND 3,1392.74,378,3280.66,1723.46,1062.01
Rega Al Buteen,20788.56,369,23113.83,23146.94,18430.17
Al Garhoud,9101.29,361,11436.35,10281.04,7921.54
Eyal Nasser,29386.7,356,28444.7,32341.53,26431.87
Al Jafliya,4132.6,339,4547.79,4616.73,3648.48
Al Qusais Third,1775.07,326,1995.32,1991.67,1558.47
Al Khabeesi,8409.42,325,8611.12,9345.63,7473.21
Al Ras,53803.09,307,50986.21,59506.56,48099.61
Al Yelayiss 4,14851.31,297,3561.52,15256.37,14446.26
Al Qusais Second,3567.46,266,5859.82,4271.66,2863.25
Saih Shuaib 4,1070.22,262,594.67,1142.22,998.21
Wadi Al Amardi,630.44,254,554.73,698.66,562.22
Um Hurair Second,21659.2,242,21481.97,24365.79,18952.61
Al Twar First,2141.5,238,1377.39,2316.5,1966.51
Al Nahda First,30201.56,217,22844.01,33241.03,27162.08
Al Buteen,62047.96,216,51289.88,68888.04,55207.89
Al Qusais Industrial Fourth,16086.69,204,59867.46,24302.15,7871.23
Zaabeel First,43930.7,192,12485.33,45696.76,42164.64
Al Ttay,31654.24,190,149249.22,52876.49,10432.0
Oud Metha,17946.33,171,15563.94,20279.13,15613.53
Al Saffa First,3891.4,160,3603.78,4449.81,3332.99
Al Aweer Second,649.98,160,864.67,783.96,516.0
Nad Al Shiba Second,1495.21,157,1262.55,1692.71,1297.72
Bukadra,19630.61,156,9367.08,21100.55,18160.68
Saih Shuaib 3,878.32,155,556.21,965.88,790.75
Al Twar Second,1870.44,153,1316.78,2079.1,1661.79
Ras Al Khor Industrial Second,5646.4,144,29944.43,10537.33,755.48
Muhaisanah Fourth,11814.73,134,10096.54,13524.26,10105.2
Ras Al Khor Industrial First,5107.68,133,7719.65,6419.66,3795.7
Mushrif,1163.29,119,643.06,1278.83,1047.75
Um Ramool,4285.76,118,6571.85,5471.54,3099.99
Al Rega,35583.43,110,38531.07,42784.07,28382.8
Al Khawaneej,227.87,106,254.42,276.31,179.44
Jumeirah,1822.63,106,1170.21,2045.4,1599.85
